review_id,ATT,BI,PV,rating,beliefs
R0011,1.0,,,5.0,"[{""belief_text"": ""best product ever"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0012,-0.8,,1.0,4.0,"[{""belief_text"": ""small sample size is convenient for travel and easy to carry"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""not very moisturizing for my skin/hands, doesn't work as well as other products"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""not a lot of product for the price"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""requires very frequent application (7+ times a day) to make a difference, which is not worth the effort"", ""b_i"": 0.9, ""e_i"": -1, ""att_component"": -0.9, ""type"": ""attribute""}, {""belief_text"": ""the Chapstick products are my favorite, I always have one on me"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}]"
R0013,1.0,,1.0,4.0,"[{""belief_text"": ""love Burt's bees products"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0014,0.8,,,5.0,"[{""belief_text"": ""works great"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0015,1.5,,3.0,5.0,"[{""belief_text"": ""product is great"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}, {""belief_text"": ""gift recipient loves it"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0016,1.6,,2.0,5.0,"[{""belief_text"": ""suitable as a gift for teachers"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""love the products"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0017,0.3,2.0,1.0,4.0,"[{""belief_text"": ""products help to keep feet feeling better, more moisturized"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""rather expensive to buy in this kit"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""feet felt much better after using"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""attribute""}]"
R0018,2.5,,3.0,4.0,"[{""belief_text"": ""great price for this kit"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""wonderful stocking stuffer"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""everyone loved it"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}]"
R0019,0.7,,,5.0,"[{""belief_text"": ""products are great"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0020,0.9,,1.0,5.0,"[{""belief_text"": ""good way to sample different products"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}, {""belief_text"": ""almond hand cream had a strange smell"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""cream was very moisturizing"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}]"
R0021,,,,5.0,"[{""belief_text"": ""great gift"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0022,,,,5.0,"[{""belief_text"": ""good as a gift"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0023,0.8,3.0,3.0,5.0,"[{""belief_text"": ""worth buying again"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0024,2.5,,3.0,5.0,"[{""belief_text"": ""perfect little trial kit"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""allowed me to experience, smell and feel all the different products"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""love them all"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}]"
R0025,1.4,1.0,2.0,5.0,"[{""belief_text"": ""product amount is just enough to get a few applications so you can see if you really like the product"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""would be perfect for travel"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}]"
R0026,,,,5.0,"[{""belief_text"": ""look nice"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""attribute""}]"
R0027,1.0,1.0,3.0,5.0,"[{""belief_text"": ""love everything that comes with this"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0028,1.5,,,5.0,"[{""belief_text"": ""great gift idea"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}, {""belief_text"": ""people loved it"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0029,1.5,,3.0,5.0,"[{""belief_text"": ""helps a lot to keep the cracking to a minimum"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""beeswax hand cream worked well"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""not greasy"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""attribute""}]"
R0030,1.6,,3.0,5.0,"[{""belief_text"": ""adorable stocking stuffers"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""everyone loves them"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0031,,,,5.0,"[{""belief_text"": ""small set"", ""b_i"": null, ""e_i"": -1, ""att_component"": null, ""type"": ""attribute""}]"
R0032,0.8,,,5.0,"[{""belief_text"": ""all the products are wonderful"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0033,2.4,,2.0,5.0,"[{""belief_text"": ""everything smells and feels great"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""fits perfect in purses or bags and backpacks"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""makes a great gift"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0034,-0.8,,1.0,3.0,"[{""belief_text"": ""a bit too greasy"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""does the job"", ""b_i"": 0.4, ""e_i"": 0, ""att_component"": 0.0, ""type"": ""general_belief""}]"
R0035,,,1.0,5.0,"[{""belief_text"": ""wife liked it"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0036,1.6,,,5.0,"[{""belief_text"": ""delivery was prompt"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""product matched description"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0037,0.8,,,4.0,"[{""belief_text"": ""products are great"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0038,0.7,,2.0,5.0,"[{""belief_text"": ""good product for a good price"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0039,1.2,2.0,,5.0,"[{""belief_text"": ""great gift"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}, {""belief_text"": ""friend loved it"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""general_belief""}]"
R0040,-0.7,,1.0,2.0,"[{""belief_text"": ""hand cream is too oily for daily wear"", ""b_i"": 0.7, ""e_i"": -1, ""att_component"": -0.7, ""type"": ""attribute""}]"
R0041,2.6,,,5.0,"[{""belief_text"": ""package in excellent shape"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""items not used, missing, or damaged"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""box in excellent shape"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}]"
R0042,1.0,,,5.0,"[{""belief_text"": ""perfect product"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0043,,,2.0,4.0,"[{""belief_text"": ""enjoyed it as a gift"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0044,1.6,,,5.0,"[{""belief_text"": ""excellent size for a stocking stuffer"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""nice variety of items"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0045,0.9,,,5.0,"[{""belief_text"": ""loves Burt's Bees products"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}]"
R0046,2.5,3.0,2.0,5.0,"[{""belief_text"": ""girlfriend loves the product"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""product is used all the time"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""will need to buy the larger kit"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}]"
R0047,-0.7,,1.0,3.0,"[{""belief_text"": ""lotion texture is oily"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""foot cream texture is a paste like toothpaste and off-putting"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}, {""belief_text"": ""absorption time is long and inconvenient"", ""b_i"": 0.7, ""e_i"": -1, ""att_component"": -0.7, ""type"": ""attribute""}, {""belief_text"": ""price is good for the amount"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""scent is not half bad"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0048,-0.7,,2.0,4.0,"[{""belief_text"": ""cute gift"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""attribute""}, {""belief_text"": ""size of set is smaller than expected"", ""b_i"": 0.7, ""e_i"": -1, ""att_component"": -0.7, ""type"": ""attribute""}]"
R0049,,,,5.0,"[{""belief_text"": ""cute gift set"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""attribute""}]"
R0050,1.9,1.0,,5.0,"[{""belief_text"": ""perfect gift"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}, {""belief_text"": ""loved by recipient"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}]"
R0051,0.8,,,5.0,"[{""belief_text"": ""great for favors"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0052,2.5,,3.0,5.0,"[{""belief_text"": ""products smell great"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""products are very hydrating"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""packaging is cute"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0053,1.2,,3.0,3.0,"[{""belief_text"": ""great value for a gift set"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""not full size"", ""b_i"": 0.4, ""e_i"": -1, ""att_component"": -0.4, ""type"": ""attribute""}, {""belief_text"": ""still think I got a good value"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0054,0.8,,3.0,5.0,"[{""belief_text"": ""overall product is awesome"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0055,1.7,,3.0,5.0,"[{""belief_text"": ""love Burts Bees products"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""attribute""}, {""belief_text"": ""nice way to give lips, feet, & hands a little bit of love"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""no complaints"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0056,2.4,,3.0,5.0,"[{""belief_text"": ""good price"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""lots of samples to try"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""great for a gift"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0057,0.0,,0.0,2.0,"[{""belief_text"": ""cuticle cream is good"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""product is not worth it"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""general_belief""}]"
R0058,0.8,1.0,3.0,5.0,"[{""belief_text"": ""cute stocking stuffers"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""attribute""}, {""belief_text"": ""great value for the money"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0059,0.8,,3.0,5.0,"[{""belief_text"": ""great price"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0060,-0.1,,1.0,4.0,"[{""belief_text"": ""product is perfect"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}, {""belief_text"": ""packaging was crushed"", ""b_i"": 0.9, ""e_i"": -1, ""att_component"": -0.9, ""type"": ""attribute""}]"
R0061,1.0,,,5.0,"[{""belief_text"": ""perfect for a mother's day gift"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0062,-2.2,0.0,1.0,3.0,"[{""belief_text"": ""box was a little worn"", ""b_i"": 0.7, ""e_i"": -1, ""att_component"": -0.7, ""type"": ""attribute""}, {""belief_text"": ""date on package showed 2017 (old stock)"", ""b_i"": 0.7, ""e_i"": -1, ""att_component"": -0.7, ""type"": ""attribute""}, {""belief_text"": ""wouldn’t buy it as a gift"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""general_belief""}]"
R0063,1.0,,,5.0,"[{""belief_text"": ""excellent product"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0064,1.5,,3.0,5.0,"[{""belief_text"": ""high quality"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""everybody love this brand"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0065,0.4,,1.0,4.0,"[{""belief_text"": ""good product"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}, {""belief_text"": ""my daughter likes the set"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""general_belief""}]"
R0066,,,3.0,5.0,"[{""belief_text"": ""great gift"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}, {""belief_text"": ""daughter loved it"", ""b_i"": null, ""e_i"": 1, ""att_component"": null, ""type"": ""general_belief""}]"
R0067,1.5,,2.0,5.0,"[{""belief_text"": ""sensitive to skin due to natural ingredients"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""great gift and a hit with recipients"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0068,3.0,3.0,3.0,5.0,"[{""belief_text"": ""foot and hand creams were initially met with skepticism"", ""b_i"": 0.4, ""e_i"": -1, ""att_component"": -0.4, ""type"": ""attribute""}, {""belief_text"": ""cuticle cream is loved based on past experience"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""kit size is great for traveling or overnight stays"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""kit is a great buy for treating house guests"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""sample kits are excellent for trying products one wouldn't normally purchase"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0069,0.8,,,5.0,"[{""belief_text"": ""perfect gift"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0070,2.0,,3.0,5.0,"[{""belief_text"": ""brand is the best"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""attribute""}, {""belief_text"": ""never been disappointed with purchases"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0071,0.7,,,5.0,"[{""belief_text"": ""product is a good gift"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0072,2.4,,3.0,5.0,"[{""belief_text"": ""product sizes are large enough to be worthwhile"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""especially like the foot cream and lip balm"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""all are quality products"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0073,1.8,3.0,3.0,5.0,"[{""belief_text"": ""very impressive"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""such good price"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}]"
R0074,0.8,3.0,2.0,4.0,"[{""belief_text"": ""great kit"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0075,,,,5.0,"[{""belief_text"": ""purchased as a Christmas present"", ""b_i"": null, ""e_i"": 0, ""att_component"": null, ""type"": ""general_belief""}]"
R0076,0.7,,,5.0,"[{""belief_text"": ""overall rating is excellent"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0077,,,,5.0,"[{""belief_text"": ""received as a gift"", ""b_i"": null, ""e_i"": 0, ""att_component"": null, ""type"": ""general_belief""}]"
R0078,1.0,,,5.0,"[{""belief_text"": ""perfect gift for mother's day"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""general_belief""}]"
R0079,1.5,,,5.0,"[{""belief_text"": ""effective for dry skin"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""user loves it"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0080,1.4,2.0,3.0,5.0,"[{""belief_text"": ""product as a gift is well-received"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""love every product tried from the brand"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""product availability is limited (sold out)"", ""b_i"": 0.4, ""e_i"": -1, ""att_component"": -0.4, ""type"": ""attribute""}]"
R0081,0.4,,,5.0,"[{""belief_text"": ""product is a great gift"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""general_belief""}]"
R0082,0.7,1.0,1.0,3.0,"[{""belief_text"": ""sample sizes are very small"", ""b_i"": 0.9, ""e_i"": -1, ""att_component"": -0.9, ""type"": ""attribute""}, {""belief_text"": ""good for trying products without buying large sizes"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""attribute""}, {""belief_text"": ""products are not working any better than others for a specific burn/callous issue"", ""b_i"": 0.7, ""e_i"": -1, ""att_component"": -0.7, ""type"": ""attribute""}, {""belief_text"": ""hand cream is very nice and not greasy"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""glad for the sample sizes to test products"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0083,2.7,3.0,3.0,5.0,"[{""belief_text"": ""never disappointed with the quality"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""scents are very nice and never overpowering"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""love the brand (Burt's Bees)"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}]"
R0084,2.4,,3.0,5.0,"[{""belief_text"": ""good for bridal/baby shower prizes"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""can't beat the price"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""always a hit"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""general_belief""}]"
R0085,0.0,,2.0,5.0,"[{""belief_text"": ""quality products"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""smaller in size than expected"", ""b_i"": 0.8, ""e_i"": -1, ""att_component"": -0.8, ""type"": ""attribute""}]"
R0086,0.7,,1.0,5.0,"[{""belief_text"": ""product is good"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}]"
R0087,1.8,,2.0,5.0,"[{""belief_text"": ""product quality and brand preference"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""attribute""}, {""belief_text"": ""pleased with the gift set"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}]"
R0088,2.6,3.0,3.0,5.0,"[{""belief_text"": ""good quality brand (Burt's Bees)"", ""b_i"": 1.0, ""e_i"": 1, ""att_component"": 1.0, ""type"": ""attribute""}, {""belief_text"": ""creamy texture"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""wonderful smell"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0089,2.0,,2.0,5.0,"[{""belief_text"": ""makes a great gift"", ""b_i"": 0.7, ""e_i"": 1, ""att_component"": 0.7, ""type"": ""general_belief""}, {""belief_text"": ""recipient was very happy with the product"", ""b_i"": 0.9, ""e_i"": 1, ""att_component"": 0.9, ""type"": ""general_belief""}, {""belief_text"": ""others who saw it wanted it for themselves"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""general_belief""}]"
R0090,1.6,,3.0,5.0,"[{""belief_text"": ""perfect travel size for outdoor use"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""high quality for a reasonable price"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}]"
R0091,2.0,,3.0,4.0,"[{""belief_text"": ""good value for the price"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""small but cute packaging"", ""b_i"": 0.8, ""e_i"": 1, ""att_component"": 0.8, ""type"": ""attribute""}, {""belief_text"": ""no complaints from recipients"", ""b_i"": 0.4, ""e_i"": 1, ""att_component"": 0.4, ""type"": ""general_belief""}]"
